7,1020,4.5,1577836800
23,1015,3.5,1577923200
45,1030,4.0,1578009600
12,1047,3.0,1578096000
38,1012,4.5,1578182400
6,1050,3.5,1578268800
17,1037,4.0,1578355200
29,1040,3.0,1578441600
50,1025,4.5,1578528000
3,1010,3.5,1578614400
11,1043,4.0,1578700800
27,1028,3.5,1578787200
8,1013,4.5,1578873600
34,1030,3.0,1578960000
19,1047,4.0,1579046400
42,1020,3.5,1579132800
15,1015,4.5,1579219200
30,1050,3.0,1579305600
4,1037,4.0,1579392000
22,1040,3.5,1579478400
10,1025,4.5,1579564800
37,1010,3.0,1579651200
14,1043,4.0,1579737600
49,1028,3.5,1579824000
5,1013,4.5,1579910400
21,1030,3.0,1579996800
33,1047,4.0,1580083200
46,1020,3.5,1580169600
9,1015,4.5,1580256000
26,1050,3.0,1580342400
40,1037,4.0,1580428800
2,1040,3.5,1580515200
18,1025,4.5,1580601600
31,1010,3.0,1580688000
47,1043,4.0,1580774400
13,1028,3.5,1580860800
35,1013,4.5,1580947200
28,1030,3.0,1581033600
44,1047,4.0,1581120000
16,1020,3.5,1581206400
39,1015,4.5,1581292800
24,1050,3.0,1581379200
41,1037,4.0,1581465600
7,1040,3.5,1581552000
20,1025,4.5,1581638400
32,1010,3.0,1581724800
48,1043,4.0,1581811200
50,1028,3.5,1581897600
3,1013,4.5,1581984000
6,1030,3.0,1582070400
11,1047,4.0,1582156800
14,1020,3.5,1582243200
25,1015,4.5,1582329600
38,1050,3.0,1582416000
9,1037,4.0,1582502400
17,1040,3.5,1582588800
29,1025,4.5,1582675200
42,1010,3.0,1582761600
13,1043,4.0,1582848000
30,1028,3.5,1582934400
8,1013,4.5,1583020800
21,1030,3.0,1583107200
36,1047,4.0,1583193600
47,1020,3.5,1583280000
5,1015,4.5,1583366400
20,1050,3.0,1583452800
33,1037,4.0,1583539200
15,1040,3.5,1583625600
26,1025,4.5,1583712000
40,1010,3.0,1583798400
2,1043,4.0,1583884800
10,1028,3.5,1583971200
19,1013,4.5,1584057600
28,1030,3.0,1584144000
37,1047,4.0,1584230400
44,1020,3.5,1584316800
50,1015,4.5,1584403200
6,1050,3.0,1584489600
16,1037,4.0,1584576000
23,1040,3.5,1584662400
35,1025,4.5,1584748800
42,1010,3.0,1584835200
1,1043,4.0,1584921600
27,1028,3.5,1585008000
