HOTEL;ty;17;1;33.08047253394032
HOTEL;happy;154;6;23.739204693397788
HOTEL;day;131;6;20.193739057370845
HOTEL;huy;131;6;20.193739057370845
HOTEL;lai;7;1;13.621371043387192
ROOMS;deluxe;14;4;7.834621031095917
ROOMS;508;4;1;7.783640596221253
ROOMS;huy;50;6;7.707533991362918
ROOMS;happy;45;6;6.936780592226626
ROOMS;ban;43;6;6.62847923257211
SERVICE;giao;25;3;21.18244650968009
SERVICE;huy;57;6;8.786588750153726
SERVICE;happy;44;6;6.782629912399368
SERVICE;day;40;6;6.1660271930903345
SERVICE;11;3;1;5.8377304471659395
LOCATION;tham;58;5;19.51538972403035
LOCATION;100m;4;1;7.783640596221253
LOCATION;danh;6;2;7.516577810972208
LOCATION;taxi;7;3;5.931085022710426
LOCATION;mua;36;6;5.5494244737813005
FACILITIES;wifi;37;6;5.7035751536085595
FACILITIES;ah;2;1;3.8918202981106265
FACILITIES;lun;2;1;3.8918202981106265
FACILITIES;karaok;3;2;3.758288905486104
FACILITIES;thang;24;6;3.6996163158542004
FOOD&DRINKS;la;7;3;5.931085022710426
FOOD&DRINKS;bufftet;3;1;5.8377304471659395
FOOD&DRINKS;no;3;1;5.8377304471659395
FOOD&DRINKS;buffe;5;3;4.236489301936018
FOOD&DRINKS;dai;2;1;3.8918202981106265
ROOM_AMENITIES;wc;4;1;7.783640596221253
ROOM_AMENITIES;drap;21;5;7.065916969045471
ROOM_AMENITIES;sen;19;5;6.392972495803045
ROOM_AMENITIES;lavabo;5;2;6.26381484247684
ROOM_AMENITIES;un;6;3;5.0837871623232225
